Sílaba|Ejemplos                                  |Observaciones
bios  |labios sabios soberbios                   |
bir   |subir recibir bírlalo                     |
bis   |ibis abismo embístalo                     |
bit   |bit turbit bitneriácea                    |
bits  |bits turbits                              |
biz   |bizco bizma bizcocho                      |
bla   |obla habla habláronle                     |
blad  |doblad hablad temblad                     |
blais |dobláis habláis tembláis                  |
blan  |hablan blanco hablándole                  |
blar  |hablar temblar doblar                     |
blas  |hablas tablas blasfemo                    |
ble   |dable noble hablé                         |
bleis |habléis dobléis tembléis                  |
blen  |hablen tiemblen blenda                    |
bles  |hables nobles poblés                      |
blez  |doblez establezca ennoblézcala            |
bli   |sublime publica oblígalo                  |
blia  |biblia                                    |
blin  |blindado sublingual                       |
blio  |bibliófilo bibliorato                     |
blior |ambliornis                                |
blis  |hablista neblís                           |
blo   |hablo pueblo tembló                       |
bloc  |bloc                                      |
bloi  |tabloide                                  |
blon  |oblongo blondo tablón                     |
blor  |temblor                                   |
blos  |pueblos vocablos establos                 |
blu   |blusa ablución diablura                   |
bluf  |bluf                                      |
blyor |amblyornis                                |
bo    |boca cabo probó                           |
boi   |amiboideo romboidal boicot                |
boj   |boj                                       |
bol   |árbol bolsa bolso                         |
bom   |bomba bombacha abómbala                   |
bon   |bondad albondiguilla carbón               |
bor   |borde labor sobórnalo                     |
bos   |cabos ambos embóstalo                     |
bot   |robot pailebot paquebot                   |
bots  |robots                                    |
bou   |bou                                       |
bra   |obra brama sabrá                          |
brac  |bráctea                                   |
brad  |librad cobrad sembrad                     |
brah  |brahmán                                   |
brai  |algebraico hebraico                       |
brais |sembráis encubráis elucucubráis           |
bral  |umbral cerebral vertebral                 |
bran  |abran labran sabrán                       |
brar  |obrar librar sembrar                      |
bras  |abras obras sabrás                        |
bre   |pobre sobre cobré                         |
brehu |sobrehumano                               |
brei  |habreisos                                 |
breis |habréis sabréis labreislo                 |
brel  |lebrel                                    |
bren  |abren libren cubren                       |
brep  |subrepticio                               |
bres  |libres pobres sembrés                     |
brex  |sobrexceder sobrexponer                   |
brez  |empobrezca ensombrezca ensombrézcalo      |
bri   |abrirá cubrirá cabrío                     |
bria  |ebria sobria embriaga                     |
brid  |abrid                                     |
brie  |abriese cubriese sobriedad                |
brien |cubriendo hambriento cubriéndolo          |
bril  |abril febril fabril                       |
brin  |brin brinco brinda                        |
brio  |equilibrio cinabrio descubrió             |
brion |embrión                                   |
brios |ebrios sobrios equilibrios                |
brir  |abrir cubrir descubrírselo                |
bris  |abriste cubriste cubrístelo               |
briz  |lombriz brizna desbríznala                |
bro   |brote libro nombró                        |
bron  |bronce bronca relumbrón                   |
bros  |libros hombros miembros                   |
bru   |bruñido brujería brújula                  |
brup  |abrupto                                   |
brus  |brusco                                    |
bu    |buho bufido bambú                         |
bue   |bueno bueyes abuelo                       |
buen  |buen                                      |
bues  |ambuesta                                  |
buey  |buey                                      |
buf   |buffet                                    |
bui   |buitre atribuido contribuía               |
buir  |atribuir retribuir distribuir             |
bul   |bulto bulbo búlgaro                       |
bum   |álbum                                     |
bun   |abunda carbunclo moribundo                |
bur   |burla burdo búrlalo                       |
bus   |buscar tribus búscase                     |
but   |debut                                     |
butz  |kibutz                                    |
buy   |ababuy                                    |
buz   |arcabuz rebuzna balbuzca                  |
by    |rugby                                     |
ca    |peca boca cáliz                           |
cac   |cactus cáctea                             |
cad   |tocad buscad publicad                     |
caf   |caftán                                    |
cai   |caiga caigan abastezcáisoslo              |
cais  |buscaisoslo perezcáis conozcáis           |
caj   |carcaj                                    |
cal   |cal caldo cálcalo                         |
cam   |campo cambio precámbrico                  |
can   |can cansa cántaro                         |
cap   |cápsula captura                           |
car   |carga carne cárdeno                       |
card  |placard                                   |
cas   |vacas pocas cáscara                       |
cat   |catgut requiéscat                         |
cau   |causa cautela cautiva                     |
caus  |encausto holocausto cáustico              |
cay   |pacay amancay                             |
caz   |eficaz perspicaz cacicazgo                |
ce    |nace dice célula                          |
ced   |haced coced merced conoced                |
cei   |ceibo aceite cruceiro                     |
ceis  |hacéis conocéis obedecéis                 |
cel   |cincel cárcel céltico                     |
cem   |decembrista                               |
cen   |hacen dicen céntimo                       |
cep   |acepto excepto escéptico                  |
ceps  |bíceps tríceps prínceps                   |
cer   |cerca hacer acérquese                     |
ces   |veces hoces francés                       |
cet   |plácet                                    |
ceu   |farmacéutico                              |
cez   |macicez endulcezca endulcézcala           |
cha   |hacha hecha echáronle                     |
chad  |endechad escuchad desmochad               |
chai  |chaima chaira hincháisoslo                |
chais |hinchaisla hincháis                       |
chal  |chal lechal                               |
cham  |champán chambra chambelán                 |
chan  |echan hinchan agachándose                 |
char  |echar charco reprochármelo                |
chas  |anchas muchas hinchás                     |
chat  |chat                                      |
chau  |chau chaucha chauvinismo                  |
che   |eché cliché deseché                       |
che   |eche leche deseché                        |
chef  |chef                                      |
cheis |echéis escuchéis                          |
chen  |ochenta marchen escuchen                  |
cher  |nocherniego                               |
ches  |clichés quichés noches                    |
chet  |crochet                                   |
chets |crochets                                  |
chez  |anochézcase estrechez                     |
chi   |chico henchirá chíflale                   |
chib  |chibcha                                   |
chid  |henchid                                   |
chie  |hinchiera hinchiéraisla                   |
chien |hinchiendo hinchiéndola                   |
chies |cuchichiés                                |
chil  |chilca aguachil                           |
chim  |cachimba chimpancé machímbrala            |
chin  |achichinque chinche borrachín             |
chio  |achiote hinchió                           |
chir  |chirle chirlo henchir                     |
chis  |chiste chispa achíspala                   |
cho   |choza hecho desechó                       |
chom  |chomba                                    |
chon  |rechoncha colchoncillo pichón             |
chor  |anchor bochorno malhechor                 |
chos  |machos pechos muchos                      |
choz  |chozno                                    |
chu   |chupar anchura chúcaro                    |
chua  |quichua                                   |
chual |achual                                    |
chuas |quechuas                                  |
chue  |mochuelo chueco habichuela                |
chum  |chumbar techumbre chúmbale                |
chun  |chunga chuncho                            |
chus  |chusco chusma manachus                    |
ci    |vecino homicida hacía                     |
cia   |hacia ciencia ciánico                     |
ciad  |negociad denunciad                        |
cial  |inicial espacial especial                 |
cian  |anuncian denuncian iniciándose            |
ciar  |saciar acuciar anunciárselo               |
cias  |sacias recias delicias                    |
cid   |decid uncid zurcídselo                    |
cie   |ciega cielo ensucié                       |
cieis |saciéis ensuciéis denunciéis              |
ciem  |diciembre ciempiés                        |
cien  |ciento ciencia haciéndole                 |
cier  |cierto ciervo aciértale                   |
cies  |especies superficies vaciés               |
cil   |dócil difícil fácilmente                  |
cim   |címbalo címbrale cimbra                   |
cin   |cinta cinco balancín                      |
cinc  |cinc                                      |
cio   |recio precio pareció                      |
cion  |acción loción creación                    |
cios  |necios vicios juicios                     |
cir   |decir deducir decírselo                   |
cis   |hiciste cisterna cístico                  |
cit   |déficit                                   |
ciu   |ciudad                                    |
cix   |cóccix                                    |
cla   |claro clavo clásico                       |
clamp |eclampsia                                 |
clan  |clan clandestina mezclándole              |
clar  |anclar reciclar mezclársele               |
clas  |anclas teclas mezclas                     |
clau  |claudica clausura cláusula                |
claus |claustro                                  |
cle   |núcleo clemente clérigo                   |
clec  |ecléctico eclecticismo                    |
clei  |nucleico                                  |
clen  |anclen mezclen enclenque                  |
clep  |cleptómano clepsidra                      |
cler  |rosicler                                  |
cles  |bucles mezcles debacles                   |
cli   |cíclica declina enclítico                 |
clien |cliente                                   |
clio  |cliometría                                |
clip  |eclíptica eclípsalo eclipse               |
clis  |ciclismo cataclismo                       |
clo   |ciclo cloaca folclórico                   |
clon  |ciclón                                    |
clor  |clorhídrico                               |
clos  |siclos ciclos choclos                     |
clu   |incluye concluye exclúyalas               |
club  |club                                      |
clue  |clueca                                    |
clui  |ocluido excluido concluía                 |
cluir |excluir incluir concluir                  |
co    |cosa loco tocó                            |
coc   |coctel cocción cóctel                     |
cog   |cognación cognición incógnita             |
coi   |coito ficoidea discoidal                  |
coin  |coincida                                  |
cok   |cok                                       |
col   |colgar caracol acólchala                  |
com   |compra combatir cómputo                   |
con   |con contra cóncavo                        |
cons  |consta conspira constituye                |
cop   |malacopterigio helicóptero                |
cor   |corta corno córneo                        |
cord  |récord                                    |
cos   |sacos pocos cósmico                       |
cot   |boicot tricot                             |
cout  |scout                                     |
coy   |bocoy coicoy                              |
coz   |coz precoz                                |
cra   |crasa execra scráneo                      |
cral  |sepulcral                                 |
cran  |execran involucran alacrán                |
crar  |lacrar lucrar execrar                     |
cras  |sacras lacras chacras                     |
cre   |crea crecer incrédulo                     |
cren  |lucren crencha involucren                 |
cres  |acres crespo encréspala                   |
crez  |acrézcala crézcanlas crezca               |
cri   |criba escrito crítico                     |
cria  |criaba                                    |
crian |crianza criándola                         |
criar |criarlo                                   |
crias |criaste                                   |
cric  |cric cricquet                             |
crie  |crié                                      |
cries |cries criésmelo                           |
crin  |alecrín crin                              |
crio  |criollo criogenia criógeno                |
crip  |cripta descripción críptico               |
cris  |crisma cristal críspala                   |
cro   |cromo sacro micrófono                     |
crol  |crol                                      |
cron  |micrón crónlech ómicron                   |
cros  |cromos sacros acróstico                   |
cru   |crudo crujiente escrúpulo                 |
crue  |crueles                                   |
cruel |cruel                                     |
cruen |cruenta                                   |
crup  |crup                                      |
crus  |incrusta crustáceo                        |
cruz  |cruz                                      |
cu    |cuyo cubre cúpula                         |
cua   |pascua cuatro acuático                    |
cual  |cual rorcual cualquier                    |
cuan  |cuan cuando cuántico                      |
cuar  |cuarto evacuar acuartelar                 |
cuas  |ascuas pascuas oblicuas                   |
cuaz  |locuaz secuaz                             |
cue   |cueva cuero cuécelo                       |
cuel  |cuélgalo cuelgan                          |
cuen  |cuenta cincuenta encuéntralo              |
cuer  |cuerpo cuervo acuérdate                   |
cues  |cuesta ecuestre acuéstate                 |
cuez  |colicuezca colicuézcalo                   |
cui   |cuita cuidado acuífero                    |
cuir  |inmiscuirse circuir                       |
cuis  |cuis                                      |
cul   |culpa oculta auscúltalo                   |
cum   |cumple cumbre encúmbrase                  |
cun   |secunda circunda rubicundo                |
cuns  |circunscripto circunstancia circunspecto  |
cuo   |cuota acuoso inicuo                       |
cuos  |conspicuos oblicuos inicuos               |
cur   |curso concurso cúrcuma                    |
cus   |fucus lacustre acústica                   |
cuy   |cacuy                                     |
cuz   |cuzco alcuzcuz blancuzca                  |
da    |da oda cadáver                            |
dac   |redactar dactilar didáctico               |
dad   |dad maldad ciudad                         |
dai   |judaico acomidaisos despidaisos           |
dais  |anidaislo despidaislo acordáis            |
dal   |caudal feudal dálmata                     |
dam   |quídam macadam damnificar                 |
dan   |dan andan dándole                         |
dap   |adapta                                    |
dar   |dar rodar dársena                         |
das   |todas sendas olvidás                      |
day   |urunday caranday                          |
daz   |audaz mordaz mendaz                       |
de    |de deja década                            |
ded   |extended responded descended              |
dei   |deidad fideicomiso                        |
deis  |andéis podéis deis                        |
del   |del delta cordel                          |
dem   |ídem modem indemnización                  |
den   |den orden idéntico                        |
dep   |adepto                                    |
der   |poder perder dérmico                      |
ders  |polders                                   |
des   |despojo ciudades holandés                 |
deu   |deudor adeudar deuterio                   |
deum  |tedéum                                    |
dex   |index dextrina ambidextro                 |
dez   |aridez avidez compadézcalo                |
dhi   |yodhídrico                                |***dudosa
di    |dice dedica dhi                           |
dia   |envidia guardia diáfano                   |
diac  |radiactivo                                |
diag  |diagnóstico                               |
dial  |cordial mundial primordial                |
dian  |asedian mediante guardián                 |
diar  |adiar mediar remediar                     |
dias  |medias discordias diáspora                |
dic   |edicto dictar apodíctico                  |
did   |ardid                                     |
die   |diera nadie aturdiéronse                  |
diem  |urdiembre                                 |
dien  |diente sedienta fundiéndose               |
dier  |aladierna brigadier                       |
dies  |diestro compendies incendies              |
diez  |diez pardiez diézmala                     |
dif   |difteria                                  |
dig   |digno dignidad indignación                |
dil   |redil candil endílgala                    |
dim   |urdimbre                                  |
din   |dintel mandinga paladín                   |
dio   |dio odio encendió                         |
dioi  |dioico                                    |
dion  |hediondo colodión                         |
diop  |dioptría dióptrico                        |
dios  |dios estudios adiós                       |
dip   |dipnoos diptongo díptico                  |
dir   |medir pedir añadírselo                    |
dis   |dispone discurre dístico                  |
diu   |diurético                                 |
dium  |médium                                    |
diur  |diurno                                    |
dix   |radix                                     |
diz   |perdiz aprendiz                           |
do    |todo puedo fundó                          |
doc   |doctor doctrina sudoccidental             |
dog   |dogma buldog                              |
dol   |dolmen                                    |
dom   |candombe                                  |
don   |don donde pendón                          |
dop   |adoptar adóptelo lepidóptero              |
dor   |ardor orador adórnala                     |
dos   |dos todos intradós                        |
dou   |estadounidense                            |
doy   |dóytela doy                               |
dra   |sidra piedra saldrá                       |
drac  |dracma                                    |
drad  |engendrad                                 |
drai  |pudraisos pudráisosla                     |
drais |pudráis pudraisla                         |
dral  |adral catedral almendral                  |
dran  |cuadrante engendran vendrán               |
drar  |ladrar taladrar engendrar                 |
dras  |cuadras piedras tendrás                   |
drau  |hidráulica                                |
dre   |odre madre vendré                         |
drei  |abstendreisos convendreisos compondreisos |
dreis |tendreislo pondreislo tendréis            |
dren  |arredren engendren amedrentar             |
dres  |odres madres despedrés                    |
drez  |ajedrez                                   |
dri   |podrida ladrillo tendría                  |
dria  |calandria vidriado adriático              |
drian |vidrian                                   |
driar |vidriar                                   |
drias |mitocondrias  calandrias                  |
drid  |pudrid                                    |
drie  |vidriera pudriéraisla                     |
drien |pudriendo pudriéndola                     |
dries |vidries                                   |
dril  |dril cuadril mandril                      |
drin  |sanedrín malandrín cuadringentésimo       |
drio  |vidrio bodrio pudrióse                    |
drios |vidrios                                   |
drir  |podrir pudrir                             |
dris  |pedrisco pudrislo pudrís                  |
dro   |cedro medro hidrógeno                     |
droc  |androctónido                              |
droi  |androide cilindroideo                     |
dron  |ladrón escuadrón almendrón                |
dros  |cedros cuadros taladros                   |
dru   |drupa druso cuadrúpedo                    |
drui  |druida                                    |
drus  |pedrusco                                  |
du    |dura madura introdúcelo                   |
dua   |ardua aduana graduado                     |
dual  |dual gradual individual                   |
duan  |individuan graduándose                    |
duar  |aduar graduar individuar                  |
duas  |arduas individuas                         |
duc   |ducto dúctil conducto                     |
due   |duele duelo duéleme                       |
duen  |duende individuen                         |
duer  |duerma duérmase                           |
dues  |gradueslo individues gradués              |
dui   |asiduidad beduino                         |
dul   |dulce abedul adúltero                     |
dum   |muchedumbre certidumbre servidumbre       |
dun   |redunda sandunga pedúnculo                |
duo   |arduo duodeno graduó                      |
duos  |residuos individuos                       |
dur   |durmió embadurnar embadúrnala             |
dus   |modus verdusca industria                  |
dux   |dux                                       |
duz   |reduzca arcaduz prodúzcanse               |
e     |cae ese échalo                            |
ec    |eccema ectodermo                          |
ed    |caed leed traed                           |
eh    |eh                                        |
ei    |éider eirá                                |
eins  |einstenio                                 |***dudosa
eis   |leéis creéis leeislo                      |
el    |él el                                     |
em    |emplea empuja émbolo                      |
en    |en entre énfasis                          |
ep    |épsilon                                   |
er    |caer raer coércela                        |
ers   |bóers                                     |
es    |es está esto                              |
et    |etcétera etmoides étnico                  |
eu    |eunuco europeo eucalipto                  |
ex    |extremo extraño éxtasis                   |
ez    |soez jaez acaezca                         |
fa    |fa faja fárrago                           |
fac   |facción facsímil satisfacción             |
fai   |jofaina azufaifo faisánido                |
fal   |falta falso asfáltico                     |
fan   |mofan orfandad celofán                    |
far   |fardo farsa fármaco                       |
fas   |cofas gafas sofás                         |
fau   |fauna fauce                               |
faus  |fausto                                    |
faz   |faz antifaz satisfázmela                  |
fe    |fe feo profético                          |
fec   |afecta efecto defecto                     |
fei   |afeite alféizar                           |
fel   |felpa feldespato afélpala                 |
fen   |ofender defender                          |
fer   |fervor enferma fértil                     |
fes   |festivo manifestó cafés                   |
fet   |buffet bufet                              |
feu   |feudal                                    |
fez   |fez                                       |
fi    |fija fila física                          |
fia   |atrofia confiado rufianes                 |
fiais |confiáis                                  |
fiam  |fiambre                                   |
fian  |afianzar confianza rufián                 |
fiar  |confiar fotografiar mecanografiar         |
fias  |fiasco fiaste confiaste                   |
fic   |ficción ficticio                          |
fie   |fiera fieles difiéralo                    |
fieis |fiéis                                     |
fiel  |fiel fieltro                              |
fien  |defiende atrofien defiéndete              |
fier  |infierno                                  |
fies  |fiesta manifiesto defiéndete              |
fil   |marfil filtro fílmalo                     |
film  |film                                      |
films |films                                     |
fin   |fin finge delfín                          |
fio   |garfio desafiolo fílmalo                  |
fion  |anfión                                    |
fior  |fiordo                                    |
fios  |garfios                                   |
fir   |firme afirme confirme                     |
fis   |fisco sofisma sofístico                   |
fiu   |ofiuro                                    |
fla   |flagelo flaqueza flámula                  |
flac  |flaccidez fláccido                        |
flan  |flan inflan chaflán                       |
flar  |inflar chiflar arrunflar                  |
flas  |chiflas desinflas insuflas                |
flash |flash                                     |
flau  |flauta                                    |
fle   |flecha reflejo flébil                     |
flec  |reflectora                                |
flen  |chiflen inflen insuflen                   |
fles  |infles chifles insufles                   |
fli   |afligir infligir chiflido                 |
flic  |flictena conflicto aflicción              |
flir  |flirtear                                  |
flo   |flota flores pasiflórea                   |
flon  |teflón gordinflón                         |
flor  |flor                                      |
flu   |fluye afluye flúor                        |
flua  |meliflua superflua                        |
fluas |superfluas                                |
fluc  |fluctuar                                  |
fluen |efluente afluente influencia              |
flui  |fluidez influido fluía                    |
fluir |fluir afluir influir                      |
fluo  |fluoruro fluorita superfluo               |
fluor |fluorhídrico                              |
fluos |superfluos                                |
fo    |fosa foco triunfó                         |
foi   |tifoidea linfoide escafoides              |
fol   |folclore                                  |
fom   |alfombra                                  |
fon   |fondo fontana sifón                       |
for   |formar forzar fórmico                     |
fos   |güelfos fosfato fósforo                   |
foz   |alfoz                                     |
fra   |cifra frase frágil                        |
frac  |frac fractura fracción                    |
frag  |fragmento diafragma diafrágmalo           |
frai  |fraile                                    |
fram  |wolfram frambuesa frambesia               |
fran  |franja francés azafrán                    |
franc |francmasón                                |
frar  |cifrar azufrar                            |
fras  |frasco cifras infrascrito                 |
frau  |fraude                                    |
fray  |fray                                      |
fraz  |disfraz                                   |
fre   |freno ofrece ofrécelo                     |
frej  |almofrej                                  |
fren  |frente ofrenda palafrén                   |
fres  |fresco fresno sufres                      |
freu  |freudismo                                 |
frez  |ofrezca ofrézcale                         |
fri   |friso frigio frívolo                      |
fria  |resfriado friable enfriáselo              |
friai |enfriaisos enfriáisosla                   |
friais|friais enfriais enfriáismela              |
frial |frialdad                                  |
frian |enfriando escalofriante                   |
friar |enfriar                                   |
frias |frias enfriaste enfriásmela               |
fric  |fricción                                  |
frie  |friega frieron sufriéralo                 |
frien |friendo sufriendo friéndolo               |
fries |escalofrieste enfriesla enfriés           |
frin  |infringir fringílido refringente          |
frio  |friolenta enfrió resfrió                  |
frir  |sufrir sufrirla sufrirlo                  |
fro   |sufro frotar nefrólogo                    |
fron  |frontal frontón frontera                  |
fru   |fruto frugal frufrú                       |
fruc  |fructosa infructuoso fructífero           |
frui  |fruición                                  |
fruir |fruir                                     |
frun  |fruncir                                   |
frus  |frustrar fruslería                        |
fu    |furor fusión fúnebre                      |
fuc   |fucsia fucsina                            |
fue   |fue fuego fuéronse                        |
fuen  |fuente                                    |
fuer  |fuerza esfuérzate                         |
fui   |fuimos fuíselo                            |
fuis  |fuiste fuisteis fuístelo                  |
ful   |fulgor trifulca fúlgido                   |
fun   |fundo confunda profundo                   |
fur   |furgón furtivo bifúrcanse                 |
fus   |fuste ofuscar fustigar                    |
fut   |fútbol futbol                             |
g     |gneis gnomo gnóstico                      |
ga    |paga llaga orgánico                       |
gad   |cegad rogad juzgad                        |
gai   |gaita regaifa obtengáisoslo               |
gais  |digaislo tengaislo traigáis               |
gal   |legal nogal gálbano                       |
gam   |gamba gambeta gambito                     |
gan   |hagan allegan pegándose                   |
gar   |lagar hogar regárselo                     |
gas   |alegas nalgas antigás                     |
gau   |gaucho                                    |
gay   |guirigay verdegay                         |
gaz   |sagaz fugaz gazmoña                       |
ge    |ligero escogerá primogénito               |
ged   |coged                                     |
gei   |géiser                                    |
gel   |gel ángel pagel                           |
gen   |gente imagen engéndralo                   |
ger   |recoger germinar gérmenes                 |
ges   |gesta gesto gestión                       |
gi    |rugirá mágico legítima                    |
gia   |regia elogia malpigiáceo                  |
gial  |colegial                                  |
gian  |elogian refugian refugiándose             |
giar  |magiar elogiar presagiar                  |
gias  |logias hemorragias sicigias               |
gid   |ungid                                     |
gie   |ingiere sugiere recogiéronse              |
gien  |exigiendo encogiendo exigiéndole          |
gies  |efigies elogies vigiés                    |
gil   |ágil púgil frágil                         |
gim   |gimnoto gimnasia gimnosperma              |
gin   |gingival magín                            |
gio   |adagio plagio dirigió                     |
gion  |legión región religión                    |
gios  |prodigios vestigios sortilegios           |
gip   |egipcia                                   |
gir   |ungir fingir afligir                      |
gis   |legisla registro elegís                   |
gla   |regla sigla tinglado                      |
glan  |glandular arreglan glándula               |
glar  |juglar seglar arreglársela                |
glas  |reglas siglas arreglas                    |
glau  |glauco glaucoma                           |
gle   |gleba iglesia inglesa                     |
gleis |rezongléis singléis rezongleisle          |
glen  |rezonglen singlen                         |
gles  |rezongles singles inglés                  |
gli   |anaglifo negligente jeroglífico           |
glio  |ganglio                                   |
glios |ganglios                                  |
glip  |gliptoteca gliptodonte glíptica           |
glo   |globo siglo glóbulo                       |
glon  |renglón                                   |
glos  |siglos                                    |
glu   |gluten glucosa glóbulo                    |
go    |yugo gozo sosegó                          |
gol   |golpe golpea agólpanse                    |
golf  |golf                                      |
gon   |gondolero avergonzar pregón               |
gor   |gordo rigor vigor                         |
gos   |higos amigos angóstalos                   |
got   |argot fagot                               |
goz   |gozne gozque desgóznalo                   |
gra   |grana agrava gráfico                      |
gral  |negral integral                           |
gram  |grampa                                    |
gran  |gran grande integrándose                  |
grar  |lograr migrar alegrar                     |
gras  |negras íntegras bisagras                  |
graz  |agraz graznar                             |
gre   |tigre alegre logré                        |
grei  |engreimiento                              |
greis |consagréis                                |
gren  |logren alegren ensangrentar               |
gres  |gres tigres feligrés                      |
grey  |grey                                      |
grez  |magrez enmugrezcáis ennegrézcala          |
gri   |grito grillo agrícola                     |
gria  |agria agriámosla                          |
griai |agriaisos engriaisos engriáisosla         |
griais|agriaisla engriaisla engriáis             |
grial |grial                                     |
grian |agrian agriándose                         |
griar |agriarse                                  |
grias |agrias engriás                            |
grie  |griego grieta engriéraste                 |
grien |mugriento sangriento engriéndose          |
gries |agries                                    |
grim  |grímpola                                  |
grin  |gringo                                    |
grio  |agrio congrio eengrió                     |
grion |agrión                                    |
grios |agrios ugrios                             |
gris  |gris almagrista petigrís                  |
griu  |agriura                                   |
gro   |negro logro alegró                        |
groin |agroindustrial                            |
gron  |alegrón                                   |
gros  |logros negros milagros                    |
gru   |grupo grulla agrúpense                    |
grua  |congrua                                   |
grue  |grueso pantagruélico engruésalo           |
gruen |congruente                                |
gruir |gruir                                     |
gruz  |negruzco                                  |
gu    |laguna gusano ambigú                      |
gua   |agua tregua biguá                         |
guad  |aguad amenguad atestiguad                 |
guai  |aguaitar guaira guaiquerí                 |
gual  |igual gualdo bagual                       |
guam  |guampa                                    |
guan  |guante aguante zaguán                     |
guar  |guarda guarnecer guárdate                 |
guas  |aguas lenguas antiguas                    |
guau  |guau                                      |
guay  |guay aguay guaycurú                       |
güe   |degüéllala                                |
gue   |pegue sigue entregué                      |
güe   |pingüe halagüeño antigüedad               |
güei  |agüeitar                                  |
gueis |rezonguéis liguéis lleguéis               |
güel  |güelfo jagüel regüeldo                    |
güen  |avergüénzate                              |
guen  |siguen huelguen cabalguen                 |
güen  |ungüento vergüenza nicaragüense           |
gues  |llegues ruegues entregués                 |
gües  |pingües bilingües gregüescos              |
guey  |maguey                                    |
güey  |magüey jagüey                             |
guez  |hidalguez lobreguez enceguézcala          |
gui   |águila aguijón perseguirá                 |
güi   |agüío argüía                              |
gui   |guía guían perseguía                      |
güi   |güiro argüir pingüino                     |
guia  |guiado                                    |
guian |guiando guiándose                         |
guiar |guiar                                     |
guid  |erguid seguid conseguid                   |
guie  |irguieron pluguiere siguiéronlo           |
guien |alguien siguiente siguiéndole             |
guies |guies guiésmela                           |
guim  |guimbalete                                |
guin  |guinda guindola jorguín                   |
güin  |pirgüín                                   |
guio  |guionista guiones distinguió              |
guion |guión                                     |
güir  |argüir                                    |
guir  |seguir proseguir extinguirse              |
guis  |foguista perseguiste                      |
güis  |güisqui agüista lingüísticas              |
guis  |seguís                                    |
gum   |legumbre                                  |
gun   |segunda pregunta ningún                   |
guo   |ambiguo antiguo apaciguó                  |
guos  |ambiguos antiguos contiguos               |
gur   |agur augur gurbión                        |
gus   |gusto augusto gústalo                     |
gut   |catgut                                    |
guz   |guzla                                     |
ha    |ha habla hállase                          |
hai   |haitiano                                  |
hal   |halda halcón                              |
ham   |hampa hambre hamburgués                   |
hams  |hámster                                   |
han   |han hangar hánselo                        |
har   |azahar hartar harpoceras                  |
hard  |hardware                                  |
has   |has hasta hásmelo                         |
haus  |exhausto                                  |
hay   |hay                                       |
haz   |haz hazte háznoslo                        |
he    |he hecho hélice                           |
heb   |hebdomadario                              |
hec   |hectárea hecto héctica                    |
hel   |helminto helvética                        |
hem   |hembra machihémbralo                      |
hen   |hender henchir rehén                      |
hep   |hepta                                     |
her   |hervir hermano hércules                   |
hes   |enhestar                                  |
hez   |hez mohez enmohézcase                     |
hi    |higo hijo ahí                             |
hia   |hiato hialino                             |
hie   |hiere hielo adhiérala                     |
hiel  |hiel                                      |
